transaction_amount,transaction_hour,customer_age,is_international,past_failed_transactions,fraud_label
37516.55787285151,22,37.638884943500216,0,1,0
95076.35921035062,3,20.45385251422839,0,2,1
73226.19478695937,17,36.108363786922226,0,0,1
59905.98257128396,4,20.735360885762546,0,3,1
15686.262180199408,15,38.583340711969214,0,1,0
15683.852581586645,13,18.0,0,3,0
5902.552855603126,18,18.0,1,1,0
86630.99696291602,13,43.18548716439999,0,0,0
60151.38967314656,8,29.53161544805217,0,2,0
70836.45052182494,5,25.12141926367759,0,2,0
2156.3909801506643,16,47.70845621075548,0,1,0
96993.99423098323,18,38.27626217328415,0,4,0
83261.01981596214,11,43.72090195533784,0,0,0
21312.677156759786,3,33.33757927679169,0,1,0
18264.314223989353,15,61.79628693900003,0,1,0
18422.11053435804,10,28.95486139440205,0,1,0
30493.800071657817,21,52.44495549359888,0,1,0
52523.16752006056,3,34.38633959900087,1,1,0
43251.30736234737,16,18.45489605087254,0,1,0
29193.79110578439,7,39.82848745748109,0,2,0
61224.10418276571,13,38.147625614551636,0,3,0
14035.436679138978,1,24.486781857607703,0,4,0
29285.250388668293,10,25.777807228652854,0,4,0
36699.5481450398,10,34.75302356915008,0,2,0
45661.391423281886,23,38.497478152479815,0,2,0
78539.07854316206,21,18.0,0,0,0
20047.410837620137,23,45.53121452523803,0,1,0
51472.0203975198,5,30.055020261850224,0,2,0
59282.21542931804,20,21.682525156018237,0,2,0
4740.3962307277725,20,44.41066551451931,0,3,0
60793.73070495369,13,34.763820205815435,0,1,0
17135.359956360422,9,47.16165776782255,0,1,0
6598.654139229424,7,39.379522629797556,1,2,0
94893.665171608,6,34.98485497051954,0,1,0
96566.64010414848,7,33.47270055019844,0,5,1
80858.89507683447,7,39.82712760556138,0,1,0
30530.91554041973,22,30.864687411906697,0,2,0
9857.444189237749,1,26.474274112535007,0,2,0
68454.87934856447,15,41.09909122654644,0,2,0
44071.23412458617,8,33.5551215855557,0,3,0
12291.619660993405,12,35.33567648069006,0,3,0
49568.17332011589,22,45.893798361546075,0,1,0
3535.4132594103176,11,33.86123392264259,0,2,0
90941.10816767033,21,35.150339255417904,0,0,0
25952.12016184169,16,29.00350488549068,0,3,0
66285.9762069628,1,39.30739933981851,0,1,0
31239.936501332155,12,38.49827912680088,0,2,0
52054.7953156633,0,44.00775131790558,1,1,1
54716.35690639364,18,29.208711629931237,0,1,0
18566.96010700015,10,30.421830304098144,0,0,1
96961.5043136794,4,42.92137399145469,0,2,0
77535.76905377534,0,37.522130033628635,0,1,1
93955.94426226249,19,25.937818738073055,1,1,0
89493.25230772211,12,48.065540677345005,0,0,0
59830.207883227406,7,18.01549431599749,0,1,0
92195.23607880936,5,42.84284753263752,0,0,1
8940.400954986757,16,22.347879640018036,0,2,0
19678.687955672605,11,53.85788516485527,0,0,0
4618.206162162753,0,19.554002730943765,0,0,0
32600.500043250107,2,46.52250651872748,0,1,0
38928.861239979255,13,34.18365639988756,0,0,0
27207.7682742122,7,31.33397430161256,0,1,0
82890.87716427774,10,36.85396656467761,1,1,1
35739.65733668957,13,41.31900339157813,0,1,0
28165.35751776934,7,25.955994976691304,0,3,0
54315.33870750902,2,26.842122748314278,1,3,1
14178.330074978789,6,41.49604865112886,0,3,0
80239.47837732856,18,18.0,0,2,0
7547.609303609105,3,29.157709068079146,0,3,0
98690.00496639167,15,65.4068695415944,0,1,0
77247.25245273608,12,25.31987035410719,0,1,0
19951.696585263824,19,46.47802791759753,0,2,0
651.6595006478797,18,29.14049231286188,0,0,0
81564.59670263794,4,40.09045144797144,0,3,0
70715.04865037695,22,41.54355690596218,0,1,0
72927.81608729463,4,46.289567351829476,0,1,1
77149.90763392598,19,32.99746173187224,0,2,0
7497.060708235627,23,54.88884638754853,0,0,0
35910.72628157283,3,29.1066343541482,0,1,0
11675.319046560458,1,37.3422041359956,1,0,0
86324.0322449718,12,37.452769322176074,0,4,1
62367.482870073036,15,23.780318800505846,0,0,0
33156.71268277965,21,32.1412774502088,0,0,0
6449.479193573761,1,36.61513499238407,0,4,0
31167.133939394655,18,30.678789568705803,0,1,0
32585.81387047203,16,59.40923965456535,0,2,0
72987.6572159726,4,26.613763264004692,0,1,0
63791.99138838579,17,46.79424468140428,1,1,1
88732.55298337502,22,43.56459813148786,0,1,1
47274.27102367873,20,34.861378654957285,0,2,0
12047.46516923634,17,26.34790946147753,0,3,0
71353.1542435772,7,27.3174467960823,0,0,0
76102.42635682806,14,29.8203270078349,0,0,0
56171.59203719268,12,18.0,0,0,0
77119.62127746064,12,24.965345742007095,1,0,1
49430.18007680264,15,20.175234846363573,0,3,0
52321.00965526121,21,48.45875003177717,0,5,1
42811.34773401911,19,41.184623923882185,0,3,0
2639.370761735109,12,42.85974098865461,0,2,0
10878.353556631115,19,40.888319515419475,0,0,0
3239.7756501047515,1,36.66967623334163,0,3,1
63677.40008525166,2,49.606803321291366,0,1,0
31504.162509525035,14,28.892373442682626,0,2,0
50906.21204735381,22,36.06669655367045,1,0,0
90765.89074521669,18,42.47058827824123,0,0,0
25004.293691972605,12,21.78790768143871,0,0,0
41097.25401125941,4,65.96588896142549,1,2,0
75579.55874045056,21,35.28565762777586,1,2,0
22956.936732613085,5,36.41989450575593,0,0,0
7790.29299189642,13,47.56878031674922,0,3,0
29046.170146085427,3,44.149553330102236,0,3,0
16206.00659667504,21,35.38078019396459,0,3,0
92976.79546902305,18,36.30129438098042,0,1,0
80831.22591848526,22,19.95851469052021,1,1,1
63377.0352753913,6,29.43534222150024,0,2,0
87158.912959753,3,40.172102161589606,0,1,1
80386.84048222154,1,39.43892839042886,0,5,1
18738.34888271498,6,47.21165750004087,0,2,0
89266.64394914878,2,33.79498941776676,0,1,0
53980.28996737351,14,21.12713486569134,0,0,0
80763.27150088985,0,45.56730430775678,0,1,0
89619.52086235698,1,49.360893461820154,0,4,1
31868.547149689202,9,43.9824457285623,0,2,0
11094.187260314908,15,33.363663291425084,0,3,0
22870.722737939974,14,45.44386051876579,0,4,0
42768.068083763006,23,69.28910478008214,0,2,0
81819.67511565707,14,36.151523144404756,1,1,0
86086.98526730872,13,21.882633077548753,1,3,0
794.5178400659513,21,29.13714950447848,0,2,0
51123.65552749881,13,41.25476000304051,0,0,0
41799.359214563025,5,18.95195689101937,0,2,0
22288.570266025952,13,36.69403074912069,1,2,0
12074.550196634913,16,38.80336650315883,0,1,0
33827.75562322243,17,50.35121739812652,0,2,0
94296.67942086066,19,48.10194856054301,0,2,0
32387.972908873446,18,43.64584791751771,0,0,0
51927.183112162274,16,18.0,0,0,0
70331.59399362827,15,44.21053128047925,0,1,0
36426.59727769147,7,42.05513386060247,0,2,0
97181.03006382397,6,37.55944377078347,0,1,0
96248.48476471691,19,18.0,0,2,1
25253.05135295388,11,27.232260908129398,0,1,0
49775.12573864931,8,23.33177230465934,0,1,0
30157.74315069529,13,18.0,0,2,0
28555.565388309016,19,34.97084848585205,0,2,0
3785.006040717826,0,27.021778785572202,1,3,0
60995.4769645917,9,61.25305580268912,0,1,0
50317.63442056326,16,33.312280605620906,0,1,0
5242.727249873937,16,47.9375315586596,0,1,0
27936.781777237484,16,19.309009753067755,1,1,1
90835.7620080687,3,29.699104139951302,0,2,0
24032.232877630544,16,35.96897876034315,0,4,0
14574.997721913187,17,25.918460513923296,0,1,0
48996.33075172854,19,30.777993151952558,0,1,0
98566.48036564901,22,32.820490937564614,0,0,0
24281.32162399889,1,32.66092014555105,1,3,1
67246.34118584727,7,53.55118573035347,0,1,0
76185.79957133888,12,38.7822628543151,1,0,0
23839.990644840727,22,39.79510562941303,0,4,0
72848.81322632477,21,40.396547743450704,1,0,0
36841.5349586534,19,41.12626377337112,0,2,0
63267.35247629859,21,34.17113016125135,0,3,0
63389.61810501338,14,31.79253628521154,0,1,0
53623.89093906837,19,36.668160595182776,0,0,0
9119.948028435389,22,46.568039489134726,0,3,0
83546.71930936487,8,46.26238188436383,0,1,0
32145.92849067641,2,32.596015243115886,0,2,0
18733.199188945437,2,42.67843694668112,0,1,0
4173.436641320915,1,33.05415336960332,0,2,0
59130.205024505354,0,35.33870549435244,0,3,0
67788.67974804401,13,30.264766184458026,1,1,0
1757.1241098928297,16,33.18354861093766,1,2,0
51258.09652409817,12,48.4133006954968,0,1,0
22726.927942274,18,35.92421147339236,0,0,0
64552.76176190404,22,36.35282508552318,0,3,1
17519.206257598646,14,20.527822207420417,0,0,0
69124.68003643634,13,31.907560923672705,0,1,0
38734.86109542369,1,32.58685096255272,0,4,0
93679.32587479978,6,26.70856514556595,0,0,0
13838.342320184725,16,35.21665411703564,0,3,0
34172.52846992083,17,30.708177097723457,0,0,0
11436.004771934848,5,35.79995855243582,1,3,0
92476.89246602842,20,36.215030098189345,0,2,0
87746.20140276001,7,25.442456421773556,0,1,0
25868.368608744044,1,31.012982175168105,0,2,0
66032.40619881448,0,35.77374282760834,0,0,0
81740.49780010147,15,46.84299431156725,0,1,0
55564.56107878629,6,37.56719172795741,0,2,1
53012.09277776505,21,28.380648200825725,0,0,0
24261.043860955124,23,38.99004759243852,0,1,0
9400.966503809332,10,52.07548889321761,0,2,0
89731.85421953734,14,44.167064725890185,0,2,0
90051.76391061672,12,40.4752653043562,0,1,0
63346.835581599466,23,42.25590175482321,0,1,0
33969.0761257652,1,49.39954041428631,0,1,0
34986.036503804826,13,45.7562679401766,0,0,0
72622.97231913691,23,40.667603811176576,0,0,0
89721.31496926246,5,45.686422195900846,0,1,1
88719.93378408522,8,24.183489037359394,0,1,0
78009.56703117663,6,19.97734747659719,0,1,0
64238.961450813345,17,36.5709865064383,0,1,0
8505.582503005378,23,35.68680709650538,0,1,0
16246.708538051915,8,29.560899464867425,0,1,0
89865.56343385522,22,43.258526698277095,0,2,0
60682.263059993034,3,18.0,0,0,1
1018.7854565013018,8,29.65227743942196,0,0,0
10237.007132316607,3,30.15044455122385,0,1,0
66383.82673389478,11,18.636982149005405,0,4,1
605.6522262372469,3,49.94731007269304,0,2,0
16164.724336608115,23,21.407987313366768,0,1,0
54918.505557721954,19,29.11659942692314,0,1,0
69220.33024950005,13,44.07979757805134,1,1,0
65230.929824309795,23,41.46045343428732,0,5,0
22504.504015109924,23,23.918253035152535,0,2,0
71246.70421261883,6,41.82489209260636,0,0,0
23801.183840930327,12,37.89784478658222,0,1,0
32607.429846110845,21,58.33035562111468,0,1,0
74674.49137129061,7,39.03940416068305,0,0,0
64998.326614816746,22,33.58758178931468,0,2,0
84937.41870836838,4,26.434980428805773,0,3,0
65795.5279408043,11,27.55756633044429,0,1,0
56874.02947321362,12,26.742309045318418,0,1,0
9458.109306026437,19,48.71098813911922,0,1,0
36834.808725637406,13,35.17969915016471,0,2,0
26593.71653140437,17,40.6524712397473,0,2,0
24474.56537357045,23,50.14247599980887,0,0,0
97303.7544197693,19,18.0,0,2,1
39370.46269420937,3,47.78873764700375,0,1,0
89215.45086219361,20,35.55396911783334,0,3,0
63150.74873712656,17,39.35048371640444,0,0,0
79501.64922381067,6,26.715967782517488,0,2,0
50313.44560120869,14,27.448756015514817,0,2,1
57732.69807417328,20,39.888458898129876,1,1,0
49302.5176125045,5,58.8459780033147,0,0,0
19604.774481024644,15,45.03313312814902,0,1,0
72272.96631462438,19,47.655229214185404,0,2,0
28149.159007841496,23,33.0799872973858,1,1,0
2529.1650465022385,7,28.99795775414372,1,0,0
64582.68236112606,20,27.191950484210068,0,1,1
17793.35687276419,15,30.11726275303312,0,0,0
94051.81257685614,21,18.0,0,1,0
95397.46484255847,15,27.75080657108398,0,3,0
91494.95258302281,2,29.396468439401566,1,1,0
37078.85415551889,16,33.24641825605159,0,2,0
1644.115991233856,8,36.31750109747292,0,1,0
92839.02440251377,2,38.62450868625611,0,0,0
42875.5964168997,19,34.8507462755704,1,0,0
96668.8164224626,6,29.18556913657243,0,1,1
96365.63571121635,17,18.0,0,3,0
85315.64460118927,11,29.246913915982066,0,2,0
29515.44431775161,18,25.275493623129947,1,3,1
38571.263087332336,15,39.66066748278604,0,1,0
85128.553484534,21,44.092873966936935,1,3,0
31760.50831511214,23,44.385710670599394,0,0,0
17032.32539394064,16,42.569527361278205,0,1,0
55724.44611958918,19,33.664742645475116,0,1,0
93621.86193866201,14,29.780444345241033,0,0,0
69633.3766878298,0,27.52897246332934,0,0,0
57049.11089192756,1,19.925010833982494,0,2,0
9807.931727699777,7,44.918537005078576,0,3,0
61539.22194724706,21,33.25288962070026,0,0,1
99006.3796254159,1,22.536597063791262,0,1,0
14094.393122128751,18,26.73508624289765,0,1,0
51881.1322711373,8,26.330265435674477,0,1,0
87749.56988560274,8,35.43024485015127,0,0,0
74102.78491364502,12,45.674678510706855,0,2,0
69731.87252542727,5,31.52010450404417,1,3,1
70278.15999031221,14,18.0,0,0,0
36013.16600685354,18,33.1081966484108,0,4,0
29429.825242022886,20,33.438060999028046,0,0,0
80955.17943230351,14,32.75079769064478,0,1,0
81030.32812845016,17,28.725388335242982,0,4,0
86720.52462615236,6,37.174390807258426,0,1,0
91332.73120039148,10,35.661411151490015,0,2,0
51183.10564620769,7,34.75169685873353,0,1,0
50201.47783925124,5,39.12641361442966,0,1,0
79849.68837878083,7,30.701671768521464,0,1,0
65031.39668469874,1,30.13414330299347,1,2,1
70226.49103804457,18,48.801232895854,0,2,0
79599.6876766665,15,40.59355409715436,0,2,0
89011.53364757488,6,43.269460609427995,0,1,0
33865.716169468426,9,47.26104585334068,0,1,0
37620.73696873041,11,40.259441806248,0,3,0
9488.795790102813,16,44.28388679136171,0,1,0
57870.18608551778,6,19.206548379297395,0,1,0
3690.6331522945343,21,37.04153871996027,0,0,0
46613.24201143277,7,33.17281538185672,0,1,0
54310.1990072869,6,51.776840908998096,1,3,1
28725.471087615613,3,44.276455318033,1,2,0
59124.24273084418,2,28.6955480920682,0,3,0
3146.974968911038,18,38.72794158529206,0,1,0
3831.0840560465203,14,36.6768133344924,0,1,0
82277.79600989986,3,39.54331433152229,0,0,1
36083.04507698516,8,24.81157530625348,0,0,1
12793.34521392329,12,38.600164652382254,0,0,0
52272.10167947496,17,32.71848650711766,1,1,0
77022.35595455123,20,37.824497640556004,0,2,0
21660.520646934634,15,27.756148348778304,0,4,0
62326.75853431813,0,29.149368286034004,0,1,0
8626.211752877423,3,46.738420203667026,0,1,0
5263.0039447439085,17,24.48452441659839,1,1,0
53182.327693657986,7,25.222455989579515,0,3,1
54109.44864884964,19,34.48418742784422,0,1,0
63779.247159670835,15,27.281096248140454,0,1,0
72636.5242388939,20,26.149713677372013,1,1,1
97587.62273830721,10,36.05075971208295,0,1,0
51678.40479528941,19,19.949341430962953,0,2,0
32363.351646830473,20,24.92037765086362,0,3,0
79539.1008573935,20,55.54095582923644,0,3,0
27156.141901081213,20,39.59475058969009,1,0,0
43953.24492849305,18,27.53436647730089,0,2,0
7937.792496092369,22,39.18215078266197,0,2,0
2632.5392672042053,18,40.67330476986629,0,0,0
96268.5766263247,17,44.944144200902386,1,1,1
83614.41403916937,18,33.7284397054327,0,2,1
69627.82318876043,10,44.76497702772889,0,0,0
40954.39914698556,2,18.0,0,1,0
17412.102575077493,7,24.43691869524247,0,2,0
15728.060562841496,19,36.638714017364556,1,4,1
25099.265526643074,18,38.296335328077916,0,3,0
54967.743804141435,9,25.882177123313582,0,6,1
71488.13267773623,15,37.594199912631595,0,2,0
66053.71793410135,4,28.761597513127395,0,3,1
28065.39630489969,19,32.230409057728345,0,1,0
95491.04153825309,8,45.24773800665011,0,2,0
73815.90197790727,7,44.089374968886,0,1,1
55479.969845888925,10,25.029396726367374,0,1,0
61210.90254881179,15,24.427485379798966,0,2,0
42018.04623653621,6,30.88826604446684,1,3,1
24848.32585116563,14,34.73253698827075,1,3,0
